date,headline1,link1,headline2,link2
2026-06-04,India's bond market likely to get a tax makeover to attract foreign capital,https://www.business-standard.com/finance/personal-finance/india-s-bond-market-likely-to-get-a-tax-makover-to-attract-foreign-capital-126060400667_1.html,,
2026-06-05,RBI's move to expand FAR likely to boost FPI flows in debt market,https://www.business-standard.com/finance/news/rbi-announces-measures-to-attract-foreign-capital-inflows-126060500324_1.html,Bond yields seen range-bound as RBI prioritises stability: Abakkus MF,https://www.business-standard.com/amp/markets/news/bond-yields-seen-range-bound-as-rbi-prioritises-stability-abakkus-mf-126060500539_1.html
2026-06-08,Big Bond Bang reignites hopes for Indian Gsec in global portfolios,https://www.business-standard.com/finance/news/big-bond-bang-reignites-indian-govt-securities-hopes-in-global-portfolios-126060700819_1.html,,
2026-06-10,Indian govt's 10-year bond yield down 0.10% on tax relief-driven FPI buying,https://www.business-standard.com/markets/news/indian-govt-s-10-year-bond-yield-down-0-10-on-tax-relief-driven-fpi-buying-126061000740_1.html,,
2026-06-12,Can foreign bond inflows really move India's $1.5 trillion Gsec market?,https://www.business-standard.com/finance/news/india-gsec-market-foreign-bond-inflows-bloomberg-global-index-bonds-yields-126061100731_1.html,India vs market peers: Are Indian government bonds still attractive?,https://www.business-standard.com/markets/news/india-gsec-market-foreign-bonds-inflow-bloomberg-index-nations-bonds-yields-126061100766_1.html
2026-06-16,Corporate bond issuances may top ₹1 trillion in June as yields soften,https://www.business-standard.com/markets/news/corporate-bond-issuances-may-top-1-trillion-in-june-as-yields-soften-126061601235_1.html,,
2026-06-18,Bond market outlook: Fed's hawkish turn may pull Indian Gsec lower,https://www.business-standard.com/markets/news/bond-market-outlook-fed-s-hawkish-turn-may-pull-indian-gsec-lower-126061800164_1.html,,
2026-06-25,"Rupee, bonds gain as oil falls below pre-Iran war levels; FPIs buy debt",https://www.business-standard.com/markets/news/rupee-bonds-gain-as-oil-falls-below-pre-iran-war-levels-fpis-buy-debt-126062501030_1.html,,
2026-06-29,Goldman Sachs recommends India's 30-year bonds on easing inflation risks,https://www.business-standard.com/markets/news/goldman-sachs-recommends-india-s-30-year-bonds-on-easing-inflation-risks-126062900534_1.html,,
2026-06-30,Banks set to book healthy treasury gains in Q1 FY27 as yields slump,https://www.business-standard.com/industry/banking/banks-set-to-book-healthy-treasury-gains-in-q1-fy27-as-yields-slump-126063001146_1.html,"FPIs' debt appetite surpasses equity exit in June on RBI, govt measures",https://www.business-standard.com/markets/news/fpi-debt-inflows-surpass-equity-outflows-in-june-amid-strong-bond-demand-126063001361_1.html
2026-07-01,Rupee posts biggest one-day fall in over three weeks amid stronger dollar,https://www.business-standard.com/markets/news/rupee-posts-biggest-one-day-fall-in-over-three-weeks-amid-stronger-dollar-126070101313_1.html,,
